headline,country,label
SpaceX launches advanced GPS satellite for US Space Force (photos) - Space,USA,
South Korea’s former first lady sentenced to 20 months in prison for corruption - AP News,USA,
‘A betrayal’: Southwest’s new plus size policy leaves some passengers unable to fly - oregonlive.com,USA,
2026 NFL Draft: 8 prospects who stood out in East-West Shrine Bowl - NFL.com,USA,
How should Chelsea line up against Napoli with Champions League bye on the line? - We Ain't Got No History,USA,
The DHS crisis is squeezing Susan Collins - Politico,USA,
CNBC Daily Open: The EU-India trade deal story is not over yet - CNBC,USA,
4 takeaways from No. 3 Michigan Basketball’s win vs No. 5 Nebraska - Maize n Brew,USA,
"After Further Review: How the Patriots Defense Won the AFC Title Game, Maye Breakdown, and Quick-Hit Film Notes From Sunday's Win in Denver - New England Patriots",USA,
"Consumer Price Index climbs 3.6% YoY in December, as expected - FXStreet",USA,
Trump to urge families to open Trump Accounts as tax season begins - ABC News,USA,
S.F. private high school has three cases of active tuberculosis - sfchronicle.com,USA,
Diplomats Worry Xi’s Purge Will Curb Critical Contact With China - Bloomberg.com,USA,
NTSB blames 'deep' systemic failures for deadly midair collision near Washington D.C. - NPR,USA,
"Asia markets open mostly higher after S&P 500 hits record, South Korea pushes fresh highs - CNBC",USA,
Samsung’s first Galaxy S26 teaser is for the ‘Privacy Display’ [Gallery] - 9to5Google,USA,
‘KPop Demon Hunters’ HUNTR/X conquer the charts and claim their destiny - NPR,USA,
Citi seeks to move harassment claim against top executive to arbitration - Financial Times,USA,
"As Trump shuffles global order, U.K. prime minister heads to Beijing - The Washington Post",USA,
Trump Claims Ilhan Omar Is Worth $44M. Here’s Why That’s Highly Unlikely. - Forbes,USA,
Scientists shed new light on the brain’s role in heart attack - NPR,USA,
Breaking Away From the Pack: The Case for the Acquisition of Greenland - RealClearDefense,USA,
January Update 1.13.0 - ARC Raiders,USA,
Google Messages on Wear OS could soon add two features you've been waiting for - Android Authority,USA,
William Foege - Legacy | Obituary,USA,
Marburg virus disease - Ethiopia - World Health Organization (WHO),USA,
Post-Perihelion Spectrum of 3I/ATLAS - Avi Loeb – Medium,USA,
