topic_id,kw1,kw2,kw3,kw4,kw5,num_headlines
14,game,coach,nfl,injury,steelers,318
5,india,bengaluru,bjp,mumbai,new,308
4,ufc,2026,season,new,world,245
10,man,police,court,arrested,charged,211
6,2026,rs,price,new,demand,196
11,court,rules,say,commission,ban,193
12,day,new,quote,quote day,word,193
9,death,killed,dies,man,crash,190
1,wa,ice,missing,new,verizon,188
0,transfer,football,portal,transfer portal,state,177
2,australian,australia,open,australian open,day,175
13,trump,trumps,greenland,politics,cnn,173
8,injury,net worth,worth,net,celtics,167
3,heatwave,temperatures,cyclone,fires,tropical,128
7,trump,venezuela,iran,oil,protests,107
